%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       1.27164        9.0123       10.0168        8.2247        7.3629         0.001       35.1467     0.0170627     0.0000003     0.0000000     0.0000003     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       1.27164        9.0123       10.0168        8.2246        7.3628         0.001       35.1467     0.0170627     0.0000092     0.0000000     0.0000091     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       1.27164        9.0123       10.0168        8.2246        7.3628         0.001       35.1468     0.0170627     0.0000092     0.0000000     0.0000091     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.27163        9.0122       10.0168        8.2246        7.3628         0.001       35.1468     0.0170627     0.0000092     0.0000000     0.0000091     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.27163        9.0122       10.0168        8.2246        7.3628         0.001       35.1469     0.0170626     0.0000092     0.0000000     0.0000091     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.27163        9.0122       10.0168        8.2246        7.3628         0.001       35.1469     0.0170626     0.0000092     0.0000000     0.0000091     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       1.27162        9.0122       10.0168        8.2246        7.3628         0.001       35.1470     0.0170626     0.0000092     0.0000000     0.0000091     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.27162        9.0122       10.0168        8.2246        7.3628         0.001       35.1470     0.0170626     0.0000092     0.0000000     0.0000091     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.27161        9.0122       10.0168        8.2246        7.3628         0.001       35.1470     0.0170626     0.0000092     0.0000000     0.0000091     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.27161        9.0122       10.0168        8.2246        7.3628         0.001       35.1470     0.0170625     0.0000092     0.0000000     0.0000091     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       1.27161        9.0122       10.0168        8.2246        7.3628         0.001       35.1471     0.0170625     0.0000092     0.0000000     0.0000091     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       1.27160        9.0122       10.0168        8.2246        7.3628         0.001       35.1471     0.0170625     0.0000092     0.0000000     0.0000091     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
