%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       22.0000       2.04996        7.2238        8.0148        6.6005        5.9171         0.016       36.4288     0.0390257     0.0000006     0.0000000     0.0000005     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       22.0000       2.04995        7.2238        8.0148        6.6005        5.9171         0.016       36.4289     0.0390250     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       22.0000       2.04995        7.2238        8.0148        6.6006        5.9172         0.015       36.4291     0.0390244     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       22.0000       2.04994        7.2238        8.0148        6.6006        5.9172         0.015       36.4292     0.0390237     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       22.0000       2.04994        7.2238        8.0148        6.6006        5.9172         0.015       36.4293     0.0390230     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       22.0000       2.04993        7.2238        8.0148        6.6006        5.9173         0.015       36.4294     0.0390223     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       22.0000       2.04993        7.2239        8.0148        6.6007        5.9173         0.015       36.4295     0.0390217     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       22.0000       2.04992        7.2239        8.0148        6.6007        5.9174         0.015       36.4296     0.0390210     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       22.0000       2.04992        7.2239        8.0148        6.6007        5.9174         0.015       36.4297     0.0390203     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       22.0000       2.04991        7.2239        8.0148        6.6007        5.9175         0.015       36.4298     0.0390196     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       22.0000       2.04990        7.2239        8.0148        6.6008        5.9175         0.015       36.4300     0.0390189     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       22.0000       2.04990        7.2239        8.0148        6.6008        5.9176         0.015       36.4301     0.0390182     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       22.0000       2.04989        7.2239        8.0148        6.6008        5.9176         0.015       36.4302     0.0390176     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       22.0000       2.04989        7.2239        8.0148        6.6008        5.9177         0.015       36.4303     0.0390169     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       22.0000       2.04988        7.2239        8.0148        6.6009        5.9177         0.015       36.4304     0.0390162     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       22.0000       2.04988        7.2239        8.0148        6.6009        5.9178         0.015       36.4305     0.0390155     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       22.0000       2.04987        7.2239        8.0148        6.6009        5.9178         0.014       36.4306     0.0390149     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       22.0000       2.04987        7.2240        8.0148        6.6009        5.9178         0.014       36.4307     0.0390142     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           9.            0.       22.0000       2.04986        7.2240        8.0148        6.6010        5.9179         0.014       36.4308     0.0390135     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       22.0000       2.04985        7.2240        8.0148        6.6010        5.9179         0.014       36.4310     0.0390128     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       22.0000       2.04985        7.2240        8.0148        6.6010        5.9180         0.014       36.4310     0.0390121     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       22.0000       2.04984        7.2240        8.0148        6.6010        5.9180         0.014       36.4311     0.0390115     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          11.            0.       22.0000       2.04984        7.2240        8.0148        6.6011        5.9181         0.014       36.4313     0.0390108     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       22.0000       2.04983        7.2240        8.0148        6.6011        5.9181         0.014       36.4314     0.0390101     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       22.0000       2.04983        7.2240        8.0148        6.6011        5.9182         0.014       36.4315     0.0390094     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       22.0000       2.04982        7.2240        8.0148        6.6011        5.9182         0.014       36.4316     0.0390087     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          13.            0.       22.0000       2.04982        7.2240        8.0148        6.6012        5.9183         0.014       36.4317     0.0390080     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       22.0000       2.04981        7.2240        8.0148        6.6012        5.9183         0.014       36.4318     0.0390074     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       22.0000       2.04981        7.2241        8.0148        6.6012        5.9183         0.014       36.4319     0.0390067     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       22.0000       2.04980        7.2241        8.0148        6.6012        5.9184         0.014       36.4320     0.0390060     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          15.            0.       22.0000       2.04979        7.2241        8.0148        6.6013        5.9184         0.014       36.4321     0.0390053     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          16.            0.       22.0000       2.04979        7.2241        8.0148        6.6013        5.9185         0.014       36.4322     0.0390046     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          16.            0.       22.0000       2.04978        7.2241        8.0148        6.6013        5.9185         0.014       36.4323     0.0390040     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          16.            0.       22.0000       2.04978        7.2241        8.0148        6.6013        5.9186         0.014       36.4324     0.0390033     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          17.            0.       22.0000       2.04977        7.2241        8.0148        6.6013        5.9186         0.013       36.4325     0.0390026     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          18.            0.       22.0000       2.04977        7.2241        8.0148        6.6014        5.9187         0.013       36.4326     0.0390019     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          18.            0.       22.0000       2.04976        7.2241        8.0148        6.6014        5.9187         0.013       36.4327     0.0390013     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          18.            0.       22.0000       2.04976        7.2241        8.0148        6.6014        5.9188         0.013       36.4328     0.0390006     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          19.            0.       22.0000       2.04975        7.2241        8.0148        6.6014        5.9188         0.013       36.4329     0.0389999     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          20.            0.       22.0000       2.04974        7.2241        8.0148        6.6015        5.9188         0.013       36.4330     0.0389992     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          20.            0.       22.0000       2.04974        7.2242        8.0148        6.6015        5.9189         0.013       36.4331     0.0389985     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          20.            0.       22.0000       2.04973        7.2242        8.0148        6.6015        5.9189         0.013       36.4332     0.0389979     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          21.            0.       22.0000       2.04973        7.2242        8.0148        6.6015        5.9190         0.013       36.4333     0.0389972     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          22.            0.       22.0000       2.04972        7.2242        8.0148        6.6016        5.9190         0.013       36.4334     0.0389965     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          22.            0.       22.0000       2.04972        7.2242        8.0148        6.6016        5.9191         0.013       36.4335     0.0389958     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          22.            0.       22.0000       2.04971        7.2242        8.0148        6.6016        5.9191         0.013       36.4336     0.0389951     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          23.            0.       22.0000       2.04970        7.2242        8.0148        6.6016        5.9192         0.013       36.4337     0.0389944     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          24.            0.       22.0000       2.04970        7.2242        8.0148        6.6017        5.9192         0.013       36.4338     0.0389938     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          24.            0.       22.0000       2.04969        7.2242        8.0148        6.6017        5.9193         0.013       36.4339     0.0389931     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          24.            0.       22.0000       2.04969        7.2242        8.0148        6.6017        5.9193         0.013       36.4340     0.0389924     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          25.            0.       22.0000       2.04968        7.2243        8.0148        6.6017        5.9193         0.013       36.4341     0.0389917     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          26.            0.       22.0000       2.04968        7.2243        8.0148        6.6018        5.9194         0.013       36.4342     0.0389910     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          26.            0.       22.0000       2.04967        7.2243        8.0148        6.6018        5.9194         0.013       36.4343     0.0389904     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          26.            0.       22.0000       2.04967        7.2243        8.0148        6.6018        5.9195         0.013       36.4344     0.0389897     0.0000140     0.0000000     0.0000103     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
