%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       1.52483        9.0121       10.0168        8.2244        7.3625         0.001       34.9554     0.0204616     0.0000003     0.0000000     0.0000003     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       1.52482        9.0121       10.0168        8.2244        7.3625         0.001       34.9555     0.0204616     0.0000132     0.0000000     0.0000131     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       1.52482        9.0121       10.0168        8.2244        7.3625         0.001       34.9555     0.0204616     0.0000132     0.0000000     0.0000131     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.52481        9.0121       10.0168        8.2244        7.3625         0.001       34.9556     0.0204615     0.0000132     0.0000000     0.0000131     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.52481        9.0121       10.0168        8.2244        7.3624         0.001       34.9556     0.0204615     0.0000132     0.0000000     0.0000131     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.52480        9.0121       10.0168        8.2244        7.3624         0.001       34.9556     0.0204615     0.0000132     0.0000000     0.0000131     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       1.52480        9.0121       10.0168        8.2244        7.3624         0.001       34.9557     0.0204614     0.0000132     0.0000000     0.0000131     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.52479        9.0121       10.0168        8.2244        7.3624         0.001       34.9557     0.0204614     0.0000132     0.0000000     0.0000131     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.52479        9.0121       10.0168        8.2244        7.3624         0.000       34.9557     0.0204614     0.0000132     0.0000000     0.0000131     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.52478        9.0121       10.0168        8.2244        7.3624         0.000       34.9557     0.0204613     0.0000132     0.0000000     0.0000131     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       1.52478        9.0121       10.0168        8.2244        7.3624         0.000       34.9558     0.0204613     0.0000132     0.0000000     0.0000131     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       1.52478        9.0121       10.0168        8.2244        7.3624         0.000       34.9558     0.0204613     0.0000132     0.0000000     0.0000131     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
