%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       1.50567        1.8011        2.0033        1.6425        1.4691         0.002       31.5173     0.4466113     0.0000016     0.0000000     0.0000000     0.0000016     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       1.37864        1.8933        2.0075        1.8135        1.7495         0.002       30.9076     0.2882926     0.0370485     0.0000000     0.0000000     0.0370485     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       1.30357        1.9388        2.0109        1.8853        1.8558         0.003       30.5234     0.2422519     0.0180794     0.0000000     0.0000000     0.0180794     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.25632        1.9615        2.0136        1.9151        1.8902         0.003       30.2723     0.2250402     0.0123369     0.0000000     0.0000000     0.0123369     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.22225        1.9760        2.0158        1.9331        1.9106         0.003       30.0918     0.2142891     0.0095285     0.0000000     0.0000000     0.0095285     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.19568        1.9863        2.0176        1.9455        1.9243         0.003       29.9486     0.2066511     0.0078480     0.0000000     0.0000000     0.0078480     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       1.17368        1.9943        2.0192        1.9550        1.9347         0.004       29.8301     0.2006750     0.0066993     0.0000000     0.0000000     0.0066993     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.15480        2.0009        2.0206        1.9627        1.9431         0.004       29.7290     0.1957408     0.0058527     0.0000000     0.0000000     0.0058527     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.13819        2.0065        2.0219        1.9693        1.9502         0.004       29.6400     0.1915281     0.0051979     0.0000000     0.0000000     0.0051979     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.12333        2.0115        2.0230        1.9749        1.9563         0.004       29.5600     0.1878452     0.0046739     0.0000000     0.0000000     0.0046739     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       1.10985        2.0159        2.0241        1.9799        1.9618         0.005       29.4873     0.1845707     0.0042437     0.0000000     0.0000000     0.0042437     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       1.09752        2.0199        2.0251        1.9845        1.9666         0.005       29.4206     0.1816222     0.0038838     0.0000000     0.0000000     0.0038838     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       1.08614        2.0235        2.0260        1.9886        1.9710         0.005       29.3589     0.1789412     0.0035779     0.0000000     0.0000000     0.0035779     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       1.07559        2.0269        2.0269        1.9923        1.9750         0.005       29.3015     0.1764838     0.0033146     0.0000000     0.0000000     0.0033146     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       19.0000       1.06574        2.0300        2.0277        1.9958        1.9787         0.006       29.2479     0.1742170     0.0030857     0.0000000     0.0000000     0.0030857     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       1.05651        2.0329        2.0284        1.9990        1.9821         0.006       29.1976     0.1721138     0.0028847     0.0000000     0.0000000     0.0028847     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       1.04783        2.0356        2.0292        2.0020        1.9853         0.006       29.1502     0.1701533     0.0027069     0.0000000     0.0000000     0.0027069     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       1.03963        2.0381        2.0299        2.0048        1.9882         0.006       29.1054     0.1683181     0.0025486     0.0000000     0.0000000     0.0025486     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           9.            0.       19.0000       1.03186        2.0405        2.0305        2.0074        1.9910         0.006       29.0630     0.1665936     0.0024066     0.0000000     0.0000000     0.0024066     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       1.02449        2.0428        2.0312        2.0099        1.9936         0.007       29.0226     0.1649680     0.0022786     0.0000000     0.0000000     0.0022786     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
