%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       0.50187        0.9005        1.0016        0.8212        0.7345         0.000       31.5058     0.5954881     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       0.39095        0.9833        1.0098        0.9551        0.9358         0.001       30.0336     0.2857214     0.0060615     0.0000000     0.0000000     0.0060615     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       0.33621        1.0213        1.0157        1.0048        0.9967         0.001       29.0162     0.2166128     0.0014574     0.0000000     0.0000000     0.0014574     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.30881        1.0369        1.0195        1.0223        1.0153         0.002       28.4642     0.1917330     0.0007440     0.0000000     0.0000000     0.0007440     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.29286        1.0448        1.0220        1.0306        1.0239         0.002       28.1216     0.1787872     0.0005022     0.0000000     0.0000000     0.0005022     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.28198        1.0500        1.0237        1.0359        1.0293         0.002       27.9037     0.1703358     0.0003818     0.0000000     0.0000000     0.0003818     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       0.27379        1.0538        1.0250        1.0398        1.0332         0.002       27.7555     0.1641403     0.0003093     0.0000000     0.0000000     0.0003093     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.26716        1.0569        1.0261        1.0428        1.0363         0.002       27.6401     0.1592236     0.0002600     0.0000000     0.0000000     0.0002600     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.26155        1.0594        1.0271        1.0454        1.0388         0.002       27.5439     0.1551105     0.0002239     0.0000000     0.0000000     0.0002239     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.25666        1.0617        1.0279        1.0476        1.0411         0.002       27.4605     0.1515543     0.0001960     0.0000000     0.0000000     0.0001960     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       0.25231        1.0637        1.0287        1.0496        1.0431         0.002       27.3863     0.1484138     0.0001739     0.0000000     0.0000000     0.0001739     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.24839        1.0655        1.0293        1.0515        1.0449         0.002       27.3196     0.1456003     0.0001559     0.0000000     0.0000000     0.0001559     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.24483        1.0673        1.0300        1.0532        1.0466         0.002       27.2589     0.1430532     0.0001409     0.0000000     0.0000000     0.0001409     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.24157        1.0688        1.0306        1.0547        1.0482         0.002       27.2033     0.1407280     0.0001282     0.0000000     0.0000000     0.0001282     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       19.0000       0.23856        1.0703        1.0311        1.0562        1.0496         0.002       27.1519     0.1385912     0.0001175     0.0000000     0.0000000     0.0001175     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       0.23577        1.0717        1.0317        1.0576        1.0510         0.002       27.1041     0.1366163     0.0001082     0.0000000     0.0000000     0.0001082     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       0.23318        1.0730        1.0322        1.0588        1.0523         0.002       27.0597     0.1347821     0.0001001     0.0000000     0.0000000     0.0001001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       0.23075        1.0743        1.0326        1.0601        1.0535         0.002       27.0180     0.1330711     0.0000931     0.0000000     0.0000000     0.0000931     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           9.            0.       19.0000       0.22847        1.0754        1.0331        1.0612        1.0546         0.002       26.9789     0.1314690     0.0000868     0.0000000     0.0000000     0.0000868     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       0.22632        1.0766        1.0335        1.0623        1.0557         0.002       26.9421     0.1299638     0.0000813     0.0000000     0.0000000     0.0000813     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       0.22429        1.0776        1.0339        1.0634        1.0568         0.002       26.9073     0.1285452     0.0000763     0.0000000     0.0000000     0.0000763     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       0.22237        1.0786        1.0343        1.0644        1.0578         0.002       26.8744     0.1272046     0.0000719     0.0000000     0.0000000     0.0000719     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          11.            0.       19.0000       0.22055        1.0796        1.0347        1.0653        1.0587         0.002       26.8431     0.1259345     0.0000679     0.0000000     0.0000000     0.0000679     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       19.0000       0.21882        1.0806        1.0350        1.0663        1.0596         0.002       26.8134     0.1247285     0.0000642     0.0000000     0.0000000     0.0000642     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       19.0000       0.21716        1.0815        1.0354        1.0672        1.0605         0.003       26.7851     0.1235808     0.0000609     0.0000000     0.0000000     0.0000609     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       19.0000       0.21558        1.0823        1.0357        1.0680        1.0613         0.003       26.7580     0.1224866     0.0000579     0.0000000     0.0000000     0.0000579     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          13.            0.       19.0000       0.21407        1.0832        1.0360        1.0688        1.0622         0.003       26.7322     0.1214414     0.0000551     0.0000000     0.0000000     0.0000551     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       19.0000       0.21263        1.0840        1.0364        1.0696        1.0630         0.004       26.7074     0.1204416     0.0000525     0.0000000     0.0000000     0.0000525     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       19.0000       0.21124        1.0848        1.0367        1.0704        1.0637         0.004       26.6837     0.1194834     0.0000502     0.0000000     0.0000000     0.0000502     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       19.0000       0.20990        1.0855        1.0370        1.0711        1.0645         0.005       26.6610     0.1185640     0.0000480     0.0000000     0.0000000     0.0000480     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          15.            0.       19.0000       0.20862        1.0863        1.0373        1.0719        1.0652         0.005       26.6392     0.1176806     0.0000460     0.0000000     0.0000000     0.0000460     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          16.            0.       19.0000       0.20738        1.0870        1.0375        1.0726        1.0659         0.006       26.6182     0.1168307     0.0000441     0.0000000     0.0000000     0.0000441     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          16.            0.       19.0000       0.20619        1.0877        1.0378        1.0732        1.0665         0.006       26.5980     0.1160121     0.0000424     0.0000000     0.0000000     0.0000424     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          16.            0.       19.0000       0.20503        1.0883        1.0381        1.0739        1.0672         0.007       26.5785     0.1152227     0.0000408     0.0000000     0.0000000     0.0000408     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          17.            0.       19.0000       0.20392        1.0890        1.0384        1.0745        1.0678         0.008       26.5598     0.1144608     0.0000392     0.0000000     0.0000000     0.0000392     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          18.            0.       19.0000       0.20284        1.0896        1.0386        1.0751        1.0684         0.009       26.5417     0.1137245     0.0000378     0.0000000     0.0000000     0.0000378     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          18.            0.       19.0000       0.20180        1.0902        1.0389        1.0758        1.0690         0.010       26.5242     0.1130126     0.0000365     0.0000000     0.0000000     0.0000365     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          18.            0.       19.0000       0.20079        1.0908        1.0391        1.0763        1.0696         0.011       26.5074     0.1123234     0.0000352     0.0000000     0.0000000     0.0000352     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          19.            0.       19.0000       0.19981        1.0914        1.0393        1.0769        1.0702         0.013       26.4912     0.1116557     0.0000340     0.0000000     0.0000000     0.0000340     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          20.            0.       19.0000       0.19886        1.0920        1.0396        1.0775        1.0707         0.014       26.4755     0.1110086     0.0000329     0.0000000     0.0000000     0.0000329     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          20.            0.       19.0000       0.19793        1.0926        1.0398        1.0780        1.0713         0.015       26.4603     0.1103806     0.0000319     0.0000000     0.0000000     0.0000319     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          20.            0.       19.0000       0.19703        1.0931        1.0400        1.0786        1.0718         0.017       26.4456     0.1097708     0.0000309     0.0000000     0.0000000     0.0000309     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          21.            0.       19.0000       0.19616        1.0936        1.0403        1.0791        1.0723         0.019       26.4314     0.1091784     0.0000299     0.0000000     0.0000000     0.0000299     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          22.            0.       19.0000       0.19531        1.0942        1.0405        1.0796        1.0728         0.021       26.4177     0.1086025     0.0000290     0.0000000     0.0000000     0.0000290     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          22.            0.       19.0000       0.19448        1.0947        1.0407        1.0801        1.0733         0.023       26.4043     0.1080422     0.0000282     0.0000000     0.0000000     0.0000282     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          22.            0.       19.0000       0.19367        1.0952        1.0409        1.0806        1.0738         0.025       26.3914     0.1074969     0.0000274     0.0000000     0.0000000     0.0000274     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          23.            0.       19.0000       0.19289        1.0957        1.0411        1.0811        1.0743         0.027       26.3790     0.1069658     0.0000266     0.0000000     0.0000000     0.0000266     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          24.            0.       19.0000       0.19212        1.0961        1.0413        1.0815        1.0748         0.030       26.3669     0.1064483     0.0000259     0.0000000     0.0000000     0.0000259     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          24.            0.       19.0000       0.19137        1.0966        1.0415        1.0820        1.0752         0.033       26.3552     0.1059437     0.0000252     0.0000000     0.0000000     0.0000252     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          24.            0.       19.0000       0.19064        1.0971        1.0417        1.0825        1.0757         0.036       26.3439     0.1054516     0.0000245     0.0000000     0.0000000     0.0000245     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          25.            0.       19.0000       0.18993        1.0975        1.0419        1.0829        1.0761         0.039       26.3329     0.1049714     0.0000239     0.0000000     0.0000000     0.0000239     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
