%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       0.50326        1.8030        2.0038        1.6445        1.4711         0.129       32.1632     0.1488639     0.0000003     0.0000000     0.0000000     0.0000003     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       0.50079        1.8112        2.0039        1.6633        1.5040         0.130       32.1188     0.1417142     0.0001605     0.0000000     0.0000000     0.0001605     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       0.49853        1.8186        2.0040        1.6803        1.5347         0.131       32.0829     0.1354921     0.0001479     0.0000000     0.0000000     0.0001479     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.49651        1.8251        2.0041        1.6950        1.5618         0.131       32.0555     0.1302971     0.0001374     0.0000000     0.0000000     0.0001374     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.49471        1.8308        2.0042        1.7076        1.5854         0.132       32.0344     0.1259867     0.0001287     0.0000000     0.0000000     0.0001287     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.49308        1.8357        2.0043        1.7185        1.6058         0.132       32.0176     0.1223891     0.0001213     0.0000000     0.0000000     0.0001213     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       0.49160        1.8401        2.0044        1.7280        1.6237         0.132       32.0037     0.1193567     0.0001151     0.0000000     0.0000000     0.0001151     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.49024        1.8440        2.0045        1.7363        1.6392         0.132       31.9919     0.1167729     0.0001096     0.0000000     0.0000000     0.0001096     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.48898        1.8475        2.0046        1.7437        1.6529         0.132       31.9816     0.1145488     0.0001048     0.0000000     0.0000000     0.0001048     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.48780        1.8507        2.0046        1.7502        1.6650         0.132       31.9723     0.1126159     0.0001006     0.0000000     0.0000000     0.0001006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       0.48669        1.8536        2.0047        1.7561        1.6758         0.131       31.9639     0.1109217     0.0000968     0.0000000     0.0000000     0.0000968     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.48565        1.8563        2.0048        1.7614        1.6854         0.131       31.9560     0.1094250     0.0000934     0.0000000     0.0000000     0.0000934     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.48466        1.8588        2.0049        1.7663        1.6940         0.130       31.9487     0.1080932     0.0000903     0.0000000     0.0000000     0.0000903     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.48372        1.8612        2.0050        1.7707        1.7018         0.130       31.9418     0.1069003     0.0000875     0.0000000     0.0000000     0.0000875     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
