%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       20.0000       2.00933        2.7028        3.0053        2.4649        2.2047         0.014       31.7406     0.2646366     0.0000077     0.0000000     0.0000000     0.0000077     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       20.0000       1.97708        2.7402        3.0059        2.5471        2.3488         0.015       31.6060     0.2293814     0.0140223     0.0000000     0.0000000     0.0140223     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       20.0000       1.95147        2.7686        3.0065        2.6090        2.4648         0.015       31.5151     0.2056016     0.0111556     0.0000000     0.0000000     0.0111556     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       1.93172        2.7887        3.0070        2.6504        2.5426         0.016       31.4556     0.1912412     0.0093819     0.0000000     0.0000000     0.0093819     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       1.91596        2.8031        3.0075        2.6779        2.5915         0.016       31.4111     0.1825844     0.0082171     0.0000000     0.0000000     0.0082171     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       1.90276        2.8142        3.0080        2.6971        2.6227         0.016       31.3732     0.1770472     0.0073930     0.0000000     0.0000000     0.0073930     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       20.0000       1.89127        2.8231        3.0085        2.7115        2.6438         0.017       31.3390     0.1731764     0.0067702     0.0000000     0.0000000     0.0067702     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       1.88096        2.8307        3.0089        2.7230        2.6594         0.017       31.3072     0.1702164     0.0062747     0.0000000     0.0000000     0.0062747     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       1.87154        2.8373        3.0093        2.7328        2.6719         0.017       31.2778     0.1677866     0.0058657     0.0000000     0.0000000     0.0058657     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       1.86281        2.8433        3.0097        2.7413        2.6824         0.017       31.2504     0.1656922     0.0055189     0.0000000     0.0000000     0.0055189     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       20.0000       1.85464        2.8487        3.0101        2.7490        2.6917         0.018       31.2248     0.1638309     0.0052193     0.0000000     0.0000000     0.0052193     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       1.84696        2.8537        3.0104        2.7559        2.7001         0.018       31.2009     0.1621445     0.0049567     0.0000000     0.0000000     0.0049567     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       1.83969        2.8584        3.0108        2.7624        2.7077         0.018       31.1784     0.1605976     0.0047239     0.0000000     0.0000000     0.0047239     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       1.83279        2.8627        3.0112        2.7683        2.7147         0.018       31.1570     0.1591669     0.0045156     0.0000000     0.0000000     0.0045156     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       20.0000       1.82620        2.8667        3.0115        2.7738        2.7213         0.018       31.1369     0.1578345     0.0043278     0.0000000     0.0000000     0.0043278     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       20.0000       1.81991        2.8706        3.0118        2.7790        2.7274         0.018       31.1177     0.1565872     0.0041574     0.0000000     0.0000000     0.0041574     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       20.0000       1.81388        2.8742        3.0122        2.7839        2.7331         0.019       31.0995     0.1554147     0.0040018     0.0000000     0.0000000     0.0040018     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       20.0000       1.80808        2.8776        3.0125        2.7885        2.7385         0.019       31.0820     0.1543087     0.0038591     0.0000000     0.0000000     0.0038591     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           9.            0.       20.0000       1.80250        2.8808        3.0128        2.7929        2.7436         0.019       31.0653     0.1532619     0.0037276     0.0000000     0.0000000     0.0037276     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       20.0000       1.79712        2.8839        3.0131        2.7970        2.7484         0.019       31.0493     0.1522684     0.0036059     0.0000000     0.0000000     0.0036059     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       20.0000       1.79192        2.8869        3.0134        2.8010        2.7530         0.019       31.0340     0.1513229     0.0034929     0.0000000     0.0000000     0.0034929     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       20.0000       1.78689        2.8897        3.0137        2.8047        2.7573         0.019       31.0192     0.1504211     0.0033876     0.0000000     0.0000000     0.0033876     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          11.            0.       20.0000       1.78202        2.8925        3.0140        2.8083        2.7615         0.019       31.0049     0.1495591     0.0032892     0.0000000     0.0000000     0.0032892     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       20.0000       1.77730        2.8951        3.0143        2.8117        2.7655         0.019       30.9912     0.1487336     0.0031970     0.0000000     0.0000000     0.0031970     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       20.0000       1.77271        2.8976        3.0145        2.8150        2.7693         0.019       30.9779     0.1479415     0.0031104     0.0000000     0.0000000     0.0031104     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       20.0000       1.76824        2.9000        3.0148        2.8182        2.7730         0.019       30.9651     0.1471805     0.0030289     0.0000000     0.0000000     0.0030289     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          13.            0.       20.0000       1.76390        2.9023        3.0151        2.8213        2.7765         0.019       30.9527     0.1464480     0.0029519     0.0000000     0.0000000     0.0029519     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       20.0000       1.75968        2.9046        3.0153        2.8242        2.7798         0.019       30.9407     0.1457422     0.0028792     0.0000000     0.0000000     0.0028792     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       20.0000       1.75555        2.9068        3.0156        2.8270        2.7831         0.019       30.9291     0.1450610     0.0028103     0.0000000     0.0000000     0.0028103     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       20.0000       1.75153        2.9089        3.0159        2.8298        2.7862         0.019       30.9178     0.1444028     0.0027449     0.0000000     0.0000000     0.0027449     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          15.            0.       20.0000       1.74761        2.9109        3.0161        2.8324        2.7893         0.019       30.9069     0.1437663     0.0026828     0.0000000     0.0000000     0.0026828     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          16.            0.       20.0000       1.74377        2.9129        3.0164        2.8350        2.7922         0.019       30.8963     0.1431500     0.0026237     0.0000000     0.0000000     0.0026237     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          16.            0.       20.0000       1.74003        2.9149        3.0166        2.8374        2.7950         0.019       30.8860     0.1425525     0.0025673     0.0000000     0.0000000     0.0025673     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          16.            0.       20.0000       1.73636        2.9167        3.0168        2.8398        2.7978         0.019       30.8760     0.1419731     0.0025135     0.0000000     0.0000000     0.0025135     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          17.            0.       20.0000       1.73277        2.9186        3.0171        2.8422        2.8004         0.019       30.8662     0.1414104     0.0024621     0.0000000     0.0000000     0.0024621     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          18.            0.       20.0000       1.72926        2.9203        3.0173        2.8444        2.8030         0.019       30.8568     0.1408637     0.0024129     0.0000000     0.0000000     0.0024129     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          18.            0.       20.0000       1.72582        2.9221        3.0175        2.8466        2.8055         0.019       30.8476     0.1403320     0.0023658     0.0000000     0.0000000     0.0023658     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          18.            0.       20.0000       1.72244        2.9237        3.0178        2.8488        2.8080         0.019       30.8386     0.1398145     0.0023206     0.0000000     0.0000000     0.0023206     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
