%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       0.75973        3.6078        4.0074        3.2929        2.9480         0.088       33.8211     0.0559836     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       0.75970        3.6079        4.0074        3.2932        2.9484         0.087       33.8206     0.0559665     0.0000041     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       0.75968        3.6080        4.0074        3.2934        2.9488         0.086       33.8200     0.0559493     0.0000041     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.75966        3.6081        4.0074        3.2936        2.9492         0.084       33.8195     0.0559322     0.0000041     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.75963        3.6082        4.0074        3.2939        2.9496         0.083       33.8190     0.0559150     0.0000041     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.75961        3.6083        4.0074        3.2941        2.9500         0.082       33.8185     0.0558980     0.0000041     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       0.75959        3.6084        4.0074        3.2943        2.9504         0.080       33.8180     0.0558809     0.0000041     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.75956        3.6085        4.0074        3.2946        2.9508         0.079       33.8175     0.0558638     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.75954        3.6086        4.0074        3.2948        2.9512         0.078       33.8169     0.0558468     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.75952        3.6087        4.0074        3.2950        2.9516         0.077       33.8164     0.0558298     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       0.75950        3.6088        4.0074        3.2952        2.9521         0.075       33.8159     0.0558129     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.75947        3.6089        4.0074        3.2955        2.9525         0.074       33.8154     0.0557959     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.75945        3.6090        4.0074        3.2957        2.9529         0.073       33.8149     0.0557790     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.75943        3.6091        4.0074        3.2959        2.9533         0.072       33.8144     0.0557620     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       19.0000       0.75940        3.6092        4.0074        3.2962        2.9537         0.071       33.8139     0.0557452     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       0.75938        3.6093        4.0074        3.2964        2.9541         0.070       33.8135     0.0557283     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       0.75936        3.6094        4.0074        3.2966        2.9545         0.068       33.8129     0.0557115     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       0.75934        3.6095        4.0074        3.2969        2.9549         0.067       33.8124     0.0556946     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           9.            0.       19.0000       0.75931        3.6096        4.0074        3.2971        2.9553         0.066       33.8120     0.0556778     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       0.75929        3.6097        4.0074        3.2973        2.9557         0.065       33.8115     0.0556611     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       0.75927        3.6098        4.0075        3.2976        2.9561         0.064       33.8110     0.0556444     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       0.75925        3.6099        4.0075        3.2978        2.9565         0.063       33.8105     0.0556276     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          11.            0.       19.0000       0.75922        3.6100        4.0075        3.2980        2.9569         0.062       33.8100     0.0556109     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       19.0000       0.75920        3.6101        4.0075        3.2982        2.9573         0.061       33.8096     0.0555942     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       19.0000       0.75918        3.6102        4.0075        3.2985        2.9577         0.059       33.8091     0.0555776     0.0000040     0.0000000     0.0000000     0.0000040     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
