%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       21.0000       2.00749        1.8011        2.0033        1.6425        1.4690         0.000       31.5074     0.5954862     0.0000009     0.0000000     0.0000000     0.0000009     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       21.0000       1.73201        1.9268        2.0119        1.8601        1.8109         0.000       30.5489     0.3380263     0.1152194     0.0000000     0.0000000     0.1152194     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       21.0000       1.58234        1.9845        2.0183        1.9423        1.9201         0.000       29.9286     0.2746889     0.0429735     0.0000000     0.0000000     0.0429735     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       1.49613        2.0109        2.0229        1.9745        1.9560         0.000       29.5546     0.2502714     0.0261162     0.0000000     0.0000000     0.0261162     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       1.43872        2.0263        2.0263        1.9922        1.9753         0.000       29.3031     0.2360001     0.0189587     0.0000000     0.0000000     0.0189587     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       1.39615        2.0369        2.0290        2.0042        1.9880         0.000       29.1207     0.2260822     0.0149611     0.0000000     0.0000000     0.0149611     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       21.0000       1.36235        2.0449        2.0311        2.0129        1.9973         0.000       28.9756     0.2185744     0.0123992     0.0000000     0.0000000     0.0123992     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       1.33414        2.0512        2.0330        2.0198        2.0045         0.000       28.8543     0.2125105     0.0105940     0.0000000     0.0000000     0.0105940     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       1.30982        2.0566        2.0347        2.0255        2.0105         0.001       28.7491     0.2074005     0.0092409     0.0000000     0.0000000     0.0092409     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       1.28836        2.0614        2.0362        2.0305        2.0156         0.001       28.6564     0.2029588     0.0081811     0.0000000     0.0000000     0.0081811     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
