%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       21.0000       1.52292        5.4145        6.0114        4.9432        4.4265         0.070       34.2992     0.0501624     0.0000001     0.0000000     0.0000001     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       21.0000       1.52291        5.4145        6.0114        4.9434        4.4267         0.069       34.2992     0.0501580     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       21.0000       1.52289        5.4146        6.0114        4.9435        4.4269         0.069       34.2992     0.0501535     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       1.52288        5.4146        6.0114        4.9436        4.4271         0.069       34.2992     0.0501491     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       1.52287        5.4147        6.0114        4.9437        4.4272         0.068       34.2992     0.0501446     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       1.52285        5.4147        6.0114        4.9438        4.4274         0.068       34.2992     0.0501402     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       21.0000       1.52284        5.4147        6.0114        4.9439        4.4276         0.068       34.2992     0.0501358     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       1.52283        5.4148        6.0114        4.9440        4.4278         0.067       34.2992     0.0501314     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       1.52281        5.4148        6.0114        4.9441        4.4280         0.067       34.2992     0.0501269     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       1.52280        5.4149        6.0114        4.9442        4.4281         0.067       34.2993     0.0501225     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       21.0000       1.52279        5.4149        6.0114        4.9443        4.4283         0.066       34.2993     0.0501180     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       21.0000       1.52277        5.4150        6.0114        4.9444        4.4285         0.066       34.2993     0.0501136     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       21.0000       1.52276        5.4150        6.0114        4.9445        4.4287         0.066       34.2993     0.0501092     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       21.0000       1.52275        5.4150        6.0114        4.9446        4.4288         0.065       34.2993     0.0501048     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       21.0000       1.52274        5.4151        6.0114        4.9447        4.4290         0.065       34.2993     0.0501003     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       21.0000       1.52272        5.4151        6.0114        4.9448        4.4292         0.065       34.2993     0.0500959     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       21.0000       1.52271        5.4152        6.0114        4.9449        4.4294         0.064       34.2993     0.0500915     0.0000089     0.0000000     0.0000018     0.0000071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
