%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       1.00388        1.8012        2.0033        1.6426        1.4691         0.010       31.5434     0.2977366     0.0000006     0.0000000     0.0000000     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       0.96722        1.8512        2.0046        1.7456        1.6470         0.012       31.2583     0.2282074     0.0060939     0.0000000     0.0000000     0.0060939     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       0.94200        1.8822        2.0057        1.8066        1.7585         0.013       31.0815     0.1949671     0.0039922     0.0000000     0.0000000     0.0039922     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.92491        1.8991        2.0066        1.8328        1.7948         0.013       30.9596     0.1837653     0.0030819     0.0000000     0.0000000     0.0030819     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.91171        1.9106        2.0075        1.8488        1.8139         0.014       30.8605     0.1773493     0.0025778     0.0000000     0.0000000     0.0025778     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.90070        1.9195        2.0083        1.8609        1.8281         0.015       30.7794     0.1724930     0.0022393     0.0000000     0.0000000     0.0022393     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       0.89120        1.9267        2.0090        1.8706        1.8394         0.015       30.7092     0.1685870     0.0019921     0.0000000     0.0000000     0.0019921     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.88278        1.9329        2.0096        1.8786        1.8487         0.016       30.6467     0.1653160     0.0018013     0.0000000     0.0000000     0.0018013     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.87518        1.9382        2.0103        1.8856        1.8566         0.016       30.5902     0.1624915     0.0016480     0.0000000     0.0000000     0.0016480     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.86823        1.9430        2.0109        1.8917        1.8636         0.017       30.5386     0.1599965     0.0015209     0.0000000     0.0000000     0.0015209     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       0.86182        1.9473        2.0114        1.8971        1.8698         0.017       30.4909     0.1577595     0.0014133     0.0000000     0.0000000     0.0014133     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.85585        1.9512        2.0119        1.9021        1.8754         0.018       30.4466     0.1557317     0.0013209     0.0000000     0.0000000     0.0013209     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.85027        1.9548        2.0125        1.9066        1.8805         0.018       30.4050     0.1538774     0.0012405     0.0000000     0.0000000     0.0012405     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.84502        1.9581        2.0129        1.9107        1.8852         0.019       30.3659     0.1521695     0.0011698     0.0000000     0.0000000     0.0011698     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       19.0000       0.84006        1.9612        2.0134        1.9146        1.8895         0.019       30.3289     0.1505866     0.0011070     0.0000000     0.0000000     0.0011070     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       0.83537        1.9641        2.0139        1.9181        1.8935         0.020       30.2939     0.1491119     0.0010509     0.0000000     0.0000000     0.0010509     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       0.83090        1.9668        2.0143        1.9215        1.8973         0.020       30.2605     0.1477319     0.0010004     0.0000000     0.0000000     0.0010004     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       0.82664        1.9693        2.0147        1.9246        1.9008         0.021       30.2287     0.1464352     0.0009547     0.0000000     0.0000000     0.0009547     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           9.            0.       19.0000       0.82257        1.9717        2.0151        1.9275        1.9040         0.021       30.1983     0.1452126     0.0009130     0.0000000     0.0000000     0.0009130     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       0.81868        1.9740        2.0155        1.9303        1.9071         0.022       30.1691     0.1440562     0.0008749     0.0000000     0.0000000     0.0008749     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       0.81493        1.9761        2.0159        1.9329        1.9101         0.022       30.1411     0.1429594     0.0008399     0.0000000     0.0000000     0.0008399     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       0.81134        1.9782        2.0163        1.9354        1.9128         0.022       30.1142     0.1419164     0.0008077     0.0000000     0.0000000     0.0008077     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          11.            0.       19.0000       0.80787        1.9802        2.0166        1.9378        1.9155         0.023       30.0882     0.1409223     0.0007778     0.0000000     0.0000000     0.0007778     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
