%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       2.00985        5.4043        6.0100        4.9291        4.4091         0.001       31.8402     0.0669423     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       2.00980        5.4044        6.0100        4.9294        4.4096         0.001       31.8398     0.0669239     0.0000437     0.0000000     0.0000046     0.0000391     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       2.00974        5.4046        6.0100        4.9297        4.4102         0.001       31.8395     0.0669055     0.0000437     0.0000000     0.0000046     0.0000391     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       2.00969        5.4047        6.0100        4.9300        4.4107         0.001       31.8391     0.0668872     0.0000437     0.0000000     0.0000046     0.0000390     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       2.00963        5.4048        6.0100        4.9304        4.4113         0.001       31.8388     0.0668689     0.0000437     0.0000000     0.0000046     0.0000390     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       2.00958        5.4050        6.0100        4.9307        4.4118         0.001       31.8385     0.0668506     0.0000436     0.0000000     0.0000046     0.0000390     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       2.00952        5.4051        6.0100        4.9310        4.4124         0.001       31.8381     0.0668324     0.0000436     0.0000000     0.0000046     0.0000390     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       2.00947        5.4052        6.0100        4.9313        4.4129         0.001       31.8378     0.0668142     0.0000436     0.0000000     0.0000046     0.0000390     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       2.00941        5.4054        6.0100        4.9316        4.4135         0.001       31.8375     0.0667960     0.0000436     0.0000000     0.0000046     0.0000389     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       2.00936        5.4055        6.0100        4.9319        4.4140         0.000       31.8371     0.0667778     0.0000436     0.0000000     0.0000046     0.0000389     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       2.00930        5.4056        6.0100        4.9322        4.4146         0.000       31.8368     0.0667596     0.0000435     0.0000000     0.0000046     0.0000389     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       2.00925        5.4058        6.0100        4.9325        4.4151         0.000       31.8365     0.0667415     0.0000435     0.0000000     0.0000046     0.0000389     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
