%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       21.0000       2.02550        7.2130        8.0139        6.5834        5.8937         0.044       33.7895     0.0390341     0.0000003     0.0000000     0.0000002     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       21.0000       2.02549        7.2130        8.0139        6.5834        5.8937         0.044       33.7894     0.0390333     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       21.0000       2.02548        7.2130        8.0139        6.5834        5.8938         0.044       33.7893     0.0390325     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       2.02547        7.2131        8.0139        6.5835        5.8938         0.044       33.7893     0.0390317     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       2.02547        7.2131        8.0139        6.5835        5.8939         0.044       33.7892     0.0390309     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       2.02546        7.2131        8.0139        6.5835        5.8939         0.043       33.7891     0.0390301     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       21.0000       2.02545        7.2131        8.0139        6.5836        5.8940         0.043       33.7890     0.0390293     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       2.02544        7.2131        8.0139        6.5836        5.8941         0.043       33.7889     0.0390285     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       2.02543        7.2131        8.0139        6.5836        5.8941         0.043       33.7889     0.0390277     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       2.02543        7.2131        8.0139        6.5836        5.8942         0.043       33.7888     0.0390269     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       21.0000       2.02542        7.2131        8.0139        6.5837        5.8942         0.042       33.7887     0.0390261     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       21.0000       2.02541        7.2131        8.0139        6.5837        5.8943         0.042       33.7886     0.0390253     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       21.0000       2.02540        7.2132        8.0139        6.5837        5.8943         0.042       33.7885     0.0390245     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       21.0000       2.02539        7.2132        8.0139        6.5838        5.8944         0.042       33.7884     0.0390237     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       21.0000       2.02539        7.2132        8.0139        6.5838        5.8944         0.042       33.7883     0.0390229     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       21.0000       2.02538        7.2132        8.0139        6.5838        5.8945         0.042       33.7883     0.0390221     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       21.0000       2.02537        7.2132        8.0139        6.5838        5.8945         0.041       33.7882     0.0390213     0.0000149     0.0000000     0.0000113     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
