%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       21.0000       1.51691        3.6099        4.0083        3.2942        2.9482         0.081       33.2513     0.1117456     0.0000013     0.0000000     0.0000000     0.0000013     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       21.0000       1.51624        3.6115        4.0083        3.2979        2.9546         0.080       33.2489     0.1112174     0.0002525     0.0000000     0.0000001     0.0002525     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       21.0000       1.51557        3.6130        4.0083        3.3014        2.9608         0.079       33.2467     0.1106969     0.0002505     0.0000000     0.0000001     0.0002504     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       1.51492        3.6145        4.0083        3.3050        2.9671         0.078       33.2446     0.1101863     0.0002484     0.0000000     0.0000001     0.0002484     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       1.51427        3.6160        4.0083        3.3084        2.9732         0.077       33.2427     0.1096864     0.0002465     0.0000000     0.0000001     0.0002464     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       1.51364        3.6175        4.0083        3.3118        2.9792         0.076       33.2409     0.1091968     0.0002446     0.0000000     0.0000001     0.0002445     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       21.0000       1.51301        3.6190        4.0084        3.3152        2.9851         0.075       33.2394     0.1087174     0.0002427     0.0000000     0.0000001     0.0002426     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       1.51239        3.6204        4.0084        3.3185        2.9910         0.074       33.2379     0.1082479     0.0002408     0.0000000     0.0000001     0.0002408     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       1.51178        3.6218        4.0084        3.3217        2.9968         0.073       33.2365     0.1077879     0.0002390     0.0000000     0.0000001     0.0002390     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       1.51118        3.6232        4.0084        3.3249        3.0024         0.072       33.2353     0.1073371     0.0002373     0.0000000     0.0000001     0.0002372     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
