%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       0.75564        9.0074       10.0165        8.2162        7.3505         0.014       32.5763     0.0101680     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       0.75563        9.0074       10.0165        8.2162        7.3505         0.014       32.5762     0.0101679     0.0000032     0.0000000     0.0000032     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       0.75563        9.0074       10.0165        8.2162        7.3505         0.014       32.5762     0.0101679     0.0000032     0.0000000     0.0000032     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.75563        9.0074       10.0165        8.2162        7.3505         0.014       32.5761     0.0101679     0.0000032     0.0000000     0.0000032     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.75563        9.0074       10.0165        8.2162        7.3505         0.014       32.5761     0.0101679     0.0000032     0.0000000     0.0000032     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       0.75562        9.0074       10.0165        8.2162        7.3505         0.014       32.5760     0.0101678     0.0000032     0.0000000     0.0000032     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       0.75562        9.0074       10.0165        8.2162        7.3505         0.014       32.5760     0.0101678     0.0000032     0.0000000     0.0000032     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.75562        9.0074       10.0165        8.2162        7.3505         0.014       32.5759     0.0101678     0.0000032     0.0000000     0.0000032     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.75562        9.0074       10.0165        8.2162        7.3504         0.014       32.5758     0.0101678     0.0000032     0.0000000     0.0000032     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       0.75561        9.0074       10.0165        8.2162        7.3504         0.014       32.5758     0.0101677     0.0000032     0.0000000     0.0000032     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
