%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       21.0000       2.00878        2.7026        3.0052        2.4646        2.2044         0.013       31.6611     0.2646364     0.0000049     0.0000000     0.0000000     0.0000049     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       21.0000       1.97652        2.7400        3.0058        2.5468        2.3485         0.014       31.5228     0.2293865     0.0140115     0.0000000     0.0000000     0.0140115     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       21.0000       1.95091        2.7683        3.0064        2.6087        2.4644         0.014       31.4288     0.2056062     0.0111472     0.0000000     0.0000000     0.0111472     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       1.93116        2.7884        3.0069        2.6501        2.5423         0.015       31.3668     0.1912423     0.0093748     0.0000000     0.0000000     0.0093748     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       1.91540        2.8029        3.0074        2.6776        2.5912         0.015       31.3202     0.1825818     0.0082106     0.0000000     0.0000000     0.0082106     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       21.0000       1.90220        2.8139        3.0079        2.6968        2.6223         0.016       31.2803     0.1770414     0.0073871     0.0000000     0.0000000     0.0073871     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       21.0000       1.89071        2.8229        3.0084        2.7112        2.6435         0.016       31.2443     0.1731681     0.0067647     0.0000000     0.0000000     0.0067647     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       1.88040        2.8304        3.0088        2.7227        2.6591         0.016       31.2109     0.1702065     0.0062694     0.0000000     0.0000000     0.0062694     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       1.87097        2.8371        3.0092        2.7325        2.6716         0.016       31.1799     0.1677755     0.0058606     0.0000000     0.0000000     0.0058606     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       21.0000       1.86224        2.8430        3.0096        2.7410        2.6821         0.017       31.1510     0.1656802     0.0055140     0.0000000     0.0000000     0.0055140     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       21.0000       1.85407        2.8485        3.0100        2.7487        2.6914         0.017       31.1240     0.1638183     0.0052146     0.0000000     0.0000000     0.0052146     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
