%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       2.00749        1.8011        2.0033        1.6425        1.4690         0.001       31.5077     0.5954869     0.0000014     0.0000000     0.0000000     0.0000014     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       1.73201        1.9268        2.0119        1.8600        1.8109         0.001       30.5492     0.3380269     0.1152201     0.0000000     0.0000000     0.1152201     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       1.58233        1.9845        2.0183        1.9423        1.9201         0.001       29.9290     0.2746897     0.0429735     0.0000000     0.0000000     0.0429735     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.49613        2.0109        2.0229        1.9745        1.9560         0.002       29.5552     0.2502723     0.0261161     0.0000000     0.0000000     0.0261161     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.43872        2.0263        2.0263        1.9922        1.9753         0.002       29.3037     0.2360014     0.0189586     0.0000000     0.0000000     0.0189586     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.39615        2.0369        2.0290        2.0042        1.9880         0.002       29.1214     0.2260838     0.0149610     0.0000000     0.0000000     0.0149610     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       1.36235        2.0448        2.0312        2.0129        1.9973         0.002       28.9764     0.2185762     0.0123990     0.0000000     0.0000000     0.0123990     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.33414        2.0512        2.0330        2.0198        2.0045         0.003       28.8550     0.2125125     0.0105938     0.0000000     0.0000000     0.0105938     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.30982        2.0566        2.0347        2.0255        2.0104         0.003       28.7500     0.2074027     0.0092407     0.0000000     0.0000000     0.0092407     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.28836        2.0613        2.0362        2.0305        2.0156         0.003       28.6572     0.2029613     0.0081809     0.0000000     0.0000000     0.0081809     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
