%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       20.0000       1.00391        1.8013        2.0033        1.6427        1.4692         0.004       31.5464     0.2977289     0.0000006     0.0000000     0.0000000     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       20.0000       0.96726        1.8513        2.0045        1.7457        1.6471         0.004       31.2621     0.2282045     0.0060933     0.0000000     0.0000000     0.0060933     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       20.0000       0.94205        1.8824        2.0056        1.8067        1.7585         0.005       31.0858     0.1949653     0.0039918     0.0000000     0.0000000     0.0039918     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       0.92496        1.8992        2.0066        1.8329        1.7948         0.005       30.9644     0.1837627     0.0030817     0.0000000     0.0000000     0.0030817     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       0.91175        1.9107        2.0075        1.8489        1.8139         0.005       30.8657     0.1773468     0.0025776     0.0000000     0.0000000     0.0025776     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       0.90075        1.9196        2.0082        1.8610        1.8282         0.006       30.7852     0.1724907     0.0022392     0.0000000     0.0000000     0.0022392     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       20.0000       0.89125        1.9269        2.0090        1.8706        1.8394         0.006       30.7154     0.1685846     0.0019920     0.0000000     0.0000000     0.0019920     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       0.88283        1.9330        2.0096        1.8787        1.8487         0.006       30.6534     0.1653138     0.0018012     0.0000000     0.0000000     0.0018012     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       0.87524        1.9384        2.0103        1.8856        1.8567         0.006       30.5974     0.1624893     0.0016479     0.0000000     0.0000000     0.0016479     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       0.86829        1.9431        2.0108        1.8918        1.8637         0.006       30.5463     0.1599943     0.0015208     0.0000000     0.0000000     0.0015208     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       20.0000       0.86188        1.9474        2.0114        1.8972        1.8699         0.007       30.4991     0.1577574     0.0014133     0.0000000     0.0000000     0.0014133     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       0.85592        1.9513        2.0119        1.9022        1.8755         0.007       30.4553     0.1557296     0.0013209     0.0000000     0.0000000     0.0013209     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
