%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       20.0000       2.00910        7.2052        8.0132        6.5714        5.8779         0.013       31.7312     0.0391212     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       20.0000       2.00910        7.2052        8.0132        6.5714        5.8779         0.013       31.7312     0.0391205     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       20.0000       2.00909        7.2052        8.0132        6.5714        5.8780         0.013       31.7311     0.0391198     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       2.00908        7.2052        8.0132        6.5715        5.8780         0.013       31.7311     0.0391191     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       2.00907        7.2052        8.0132        6.5715        5.8781         0.013       31.7310     0.0391184     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       2.00906        7.2052        8.0132        6.5715        5.8781         0.013       31.7309     0.0391177     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       20.0000       2.00906        7.2052        8.0132        6.5715        5.8781         0.013       31.7309     0.0391170     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       2.00905        7.2052        8.0132        6.5716        5.8782         0.013       31.7308     0.0391163     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       2.00904        7.2052        8.0132        6.5716        5.8782         0.013       31.7307     0.0391156     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       2.00903        7.2052        8.0132        6.5716        5.8783         0.013       31.7307     0.0391149     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       20.0000       2.00902        7.2052        8.0132        6.5716        5.8783         0.013       31.7306     0.0391142     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       2.00902        7.2053        8.0132        6.5716        5.8784         0.013       31.7305     0.0391135     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       2.00901        7.2053        8.0132        6.5717        5.8784         0.013       31.7305     0.0391128     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       2.00900        7.2053        8.0132        6.5717        5.8785         0.013       31.7304     0.0391121     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       20.0000       2.00899        7.2053        8.0132        6.5717        5.8785         0.013       31.7303     0.0391114     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       20.0000       2.00898        7.2053        8.0132        6.5717        5.8785         0.013       31.7303     0.0391107     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       20.0000       2.00898        7.2053        8.0132        6.5718        5.8786         0.013       31.7302     0.0391100     0.0000161     0.0000000     0.0000125     0.0000036     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
