%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       20.0000       1.01559        5.4127        6.0110        4.9414        4.4248         0.092       34.4598     0.0335277     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       20.0000       1.01559        5.4127        6.0110        4.9414        4.4249         0.091       34.4597     0.0335269     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       20.0000       1.01558        5.4127        6.0110        4.9414        4.4249         0.091       34.4596     0.0335262     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       1.01558        5.4127        6.0110        4.9414        4.4250         0.090       34.4595     0.0335254     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       1.01558        5.4127        6.0110        4.9415        4.4250         0.090       34.4594     0.0335247     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       1.01557        5.4127        6.0110        4.9415        4.4251         0.089       34.4593     0.0335239     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       20.0000       1.01557        5.4128        6.0110        4.9415        4.4251         0.089       34.4591     0.0335232     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       1.01557        5.4128        6.0110        4.9415        4.4252         0.088       34.4590     0.0335224     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       1.01556        5.4128        6.0110        4.9416        4.4252         0.088       34.4589     0.0335216     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       1.01556        5.4128        6.0110        4.9416        4.4252         0.087       34.4588     0.0335209     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       20.0000       1.01556        5.4128        6.0110        4.9416        4.4253         0.087       34.4587     0.0335201     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       1.01555        5.4128        6.0110        4.9416        4.4253         0.086       34.4586     0.0335194     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       1.01555        5.4128        6.0110        4.9417        4.4254         0.086       34.4585     0.0335186     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       1.01555        5.4128        6.0110        4.9417        4.4254         0.085       34.4584     0.0335178     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       20.0000       1.01555        5.4128        6.0110        4.9417        4.4255         0.085       34.4583     0.0335171     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       20.0000       1.01554        5.4129        6.0110        4.9418        4.4255         0.084       34.4582     0.0335163     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       20.0000       1.01554        5.4129        6.0110        4.9418        4.4255         0.084       34.4581     0.0335156     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       20.0000       1.01554        5.4129        6.0110        4.9418        4.4256         0.083       34.4580     0.0335148     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           9.            0.       20.0000       1.01553        5.4129        6.0110        4.9418        4.4256         0.083       34.4579     0.0335140     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       20.0000       1.01553        5.4129        6.0110        4.9419        4.4257         0.083       34.4578     0.0335133     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       20.0000       1.01553        5.4129        6.0110        4.9419        4.4257         0.082       34.4577     0.0335125     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       20.0000       1.01552        5.4129        6.0110        4.9419        4.4258         0.082       34.4576     0.0335118     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          11.            0.       20.0000       1.01552        5.4129        6.0110        4.9419        4.4258         0.081       34.4575     0.0335110     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       20.0000       1.01552        5.4129        6.0110        4.9420        4.4259         0.081       34.4574     0.0335103     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       20.0000       1.01551        5.4129        6.0110        4.9420        4.4259         0.081       34.4573     0.0335095     0.0000016     0.0000000     0.0000010     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
