%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       1.25483        1.8012        2.0033        1.6426        1.4691         0.004       31.5389     0.3721698     0.0000018     0.0000000     0.0000000     0.0000018     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       1.18046        1.8733        2.0058        1.7830        1.7054         0.005       31.1015     0.2597771     0.0169597     0.0000000     0.0000000     0.0169597     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       1.13380        1.9120        2.0079        1.8498        1.8143         0.005       30.8295     0.2204374     0.0095307     0.0000000     0.0000000     0.0095307     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.10326        1.9320        2.0097        1.8773        1.8470         0.006       30.6433     0.2069716     0.0069157     0.0000000     0.0000000     0.0069157     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.08031        1.9455        2.0112        1.8950        1.8675         0.006       30.5054     0.1982471     0.0055383     0.0000000     0.0000000     0.0055383     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.06189        1.9553        2.0125        1.9074        1.8817         0.007       30.3920     0.1919440     0.0046792     0.0000000     0.0000000     0.0046792     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       1.04633        1.9631        2.0137        1.9172        1.8927         0.007       30.2966     0.1869418     0.0040721     0.0000000     0.0000000     0.0040721     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.03275        1.9697        2.0147        1.9253        1.9017         0.007       30.2137     0.1827721     0.0036134     0.0000000     0.0000000     0.0036134     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.02067        1.9753        2.0157        1.9321        1.9093         0.008       30.1400     0.1791911     0.0032519     0.0000000     0.0000000     0.0032519     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.00975        1.9803        2.0166        1.9381        1.9159         0.008       30.0733     0.1760480     0.0029582     0.0000000     0.0000000     0.0029582     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       0.99977        1.9848        2.0174        1.9434        1.9218         0.009       30.0122     0.1732451     0.0027139     0.0000000     0.0000000     0.0027139     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.99057        1.9888        2.0182        1.9482        1.9271         0.009       29.9558     0.1707151     0.0025071     0.0000000     0.0000000     0.0025071     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.98203        1.9925        2.0189        1.9526        1.9318         0.009       29.9033     0.1684094     0.0023296     0.0000000     0.0000000     0.0023296     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       0.97406        1.9958        2.0196        1.9565        1.9362         0.010       29.8543     0.1662921     0.0021753     0.0000000     0.0000000     0.0021753     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       19.0000       0.96659        1.9990        2.0203        1.9602        1.9402         0.010       29.8083     0.1643350     0.0020399     0.0000000     0.0000000     0.0020399     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       0.95955        2.0019        2.0210        1.9636        1.9439         0.010       29.7649     0.1625162     0.0019200     0.0000000     0.0000000     0.0019200     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       0.95289        2.0046        2.0216        1.9668        1.9474         0.011       29.7239     0.1608179     0.0018132     0.0000000     0.0000000     0.0018132     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       0.94658        2.0072        2.0221        1.9698        1.9506         0.011       29.6850     0.1592255     0.0017173     0.0000000     0.0000000     0.0017173     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           9.            0.       19.0000       0.94058        2.0096        2.0227        1.9725        1.9536         0.011       29.6480     0.1577270     0.0016308     0.0000000     0.0000000     0.0016308     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       0.93486        2.0119        2.0232        1.9752        1.9565         0.011       29.6127     0.1563123     0.0015523     0.0000000     0.0000000     0.0015523     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       0.92940        2.0141        2.0238        1.9777        1.9591         0.012       29.5790     0.1549728     0.0014808     0.0000000     0.0000000     0.0014808     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       0.92417        2.0161        2.0243        1.9800        1.9617         0.012       29.5468     0.1537012     0.0014153     0.0000000     0.0000000     0.0014153     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          11.            0.       19.0000       0.91915        2.0181        2.0247        1.9823        1.9641         0.012       29.5159     0.1524911     0.0013551     0.0000000     0.0000000     0.0013551     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       19.0000       0.91433        2.0200        2.0252        1.9844        1.9664         0.013       29.4863     0.1513372     0.0012996     0.0000000     0.0000000     0.0012996     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       19.0000       0.90969        2.0218        2.0256        1.9864        1.9686         0.013       29.4577     0.1502346     0.0012483     0.0000000     0.0000000     0.0012483     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       19.0000       0.90522        2.0235        2.0261        1.9884        1.9707         0.013       29.4303     0.1491791     0.0012007     0.0000000     0.0000000     0.0012007     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          13.            0.       19.0000       0.90091        2.0252        2.0265        1.9903        1.9727         0.013       29.4038     0.1481670     0.0011564     0.0000000     0.0000000     0.0011564     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       19.0000       0.89675        2.0268        2.0269        1.9921        1.9746         0.014       29.3783     0.1471951     0.0011151     0.0000000     0.0000000     0.0011151     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       19.0000       0.89272        2.0283        2.0273        1.9938        1.9765         0.014       29.3536     0.1462603     0.0010765     0.0000000     0.0000000     0.0010765     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       19.0000       0.88882        2.0298        2.0277        1.9954        1.9782         0.014       29.3298     0.1453601     0.0010404     0.0000000     0.0000000     0.0010404     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          15.            0.       19.0000       0.88504        2.0313        2.0281        1.9970        1.9799         0.015       29.3067     0.1444922     0.0010064     0.0000000     0.0000000     0.0010064     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          16.            0.       19.0000       0.88137        2.0326        2.0285        1.9986        1.9816         0.015       29.2844     0.1436544     0.0009745     0.0000000     0.0000000     0.0009745     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          16.            0.       19.0000       0.87781        2.0340        2.0288        2.0001        1.9832         0.015       29.2627     0.1428447     0.0009444     0.0000000     0.0000000     0.0009444     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          16.            0.       19.0000       0.87435        2.0353        2.0292        2.0015        1.9847         0.015       29.2417     0.1420615     0.0009160     0.0000000     0.0000000     0.0009160     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          17.            0.       19.0000       0.87099        2.0366        2.0295        2.0029        1.9862         0.016       29.2213     0.1413030     0.0008892     0.0000000     0.0000000     0.0008892     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
