%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       20.0000       1.50810        3.6039        4.0069        3.2871        2.9403         0.044       31.9224     0.1117029     0.0000003     0.0000000     0.0000000     0.0000003     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       20.0000       1.50742        3.6054        4.0070        3.2906        2.9466         0.044       31.9170     0.1111789     0.0002480     0.0000000     0.0000001     0.0002480     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       20.0000       1.50675        3.6069        4.0070        3.2942        2.9528         0.044       31.9117     0.1106624     0.0002460     0.0000000     0.0000001     0.0002459     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       1.50609        3.6085        4.0070        3.2977        2.9589         0.044       31.9066     0.1101559     0.0002440     0.0000000     0.0000001     0.0002440     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       1.50543        3.6099        4.0070        3.3011        2.9649         0.043       31.9017     0.1096595     0.0002421     0.0000000     0.0000001     0.0002421     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       1.50479        3.6114        4.0070        3.3045        2.9709         0.043       31.8970     0.1091734     0.0002402     0.0000000     0.0000001     0.0002402     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       20.0000       1.50415        3.6128        4.0070        3.3078        2.9768         0.043       31.8924     0.1086973     0.0002384     0.0000000     0.0000001     0.0002383     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       1.50353        3.6143        4.0071        3.3110        2.9825         0.043       31.8880     0.1082309     0.0002366     0.0000000     0.0000001     0.0002365     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       1.50291        3.6156        4.0071        3.3143        2.9882         0.042       31.8838     0.1077738     0.0002348     0.0000000     0.0000001     0.0002347     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       1.50230        3.6170        4.0071        3.3174        2.9939         0.042       31.8796     0.1073257     0.0002331     0.0000000     0.0000001     0.0002330     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       20.0000       1.50170        3.6184        4.0071        3.3205        2.9994         0.042       31.8756     0.1068863     0.0002314     0.0000000     0.0000001     0.0002313     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       1.50110        3.6197        4.0071        3.3236        3.0049         0.042       31.8718     0.1064555     0.0002297     0.0000000     0.0000001     0.0002297     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       1.50051        3.6210        4.0071        3.3266        3.0103         0.041       31.8680     0.1060327     0.0002281     0.0000000     0.0000001     0.0002280     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       1.49993        3.6223        4.0072        3.3296        3.0156         0.041       31.8643     0.1056180     0.0002265     0.0000000     0.0000001     0.0002264     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       20.0000       1.49936        3.6236        4.0072        3.3325        3.0208         0.041       31.8608     0.1052109     0.0002249     0.0000000     0.0000001     0.0002248     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
