%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       2.00748        3.6021        4.0065        3.2850        2.9380         0.000       31.5059     0.1489324     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       2.00471        3.6068        4.0066        3.2958        2.9570         0.000       31.4886     0.1468267     0.0013636     0.0000000     0.0000002     0.0013634     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       2.00202        3.6114        4.0066        3.3063        2.9755         0.000       31.4724     0.1448079     0.0013307     0.0000000     0.0000002     0.0013305     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.99943        3.6157        4.0067        3.3164        2.9934         0.000       31.4576     0.1428986     0.0012997     0.0000000     0.0000002     0.0012995     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.99694        3.6199        4.0067        3.3260        3.0106         0.000       31.4441     0.1410987     0.0012706     0.0000000     0.0000002     0.0012704     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.99454        3.6239        4.0068        3.3351        3.0270         0.000       31.4316     0.1394015     0.0012431     0.0000000     0.0000002     0.0012429     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       1.99223        3.6277        4.0068        3.3439        3.0428         0.000       31.4201     0.1377992     0.0012172     0.0000000     0.0000002     0.0012170     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.99000        3.6314        4.0069        3.3522        3.0579         0.000       31.4094     0.1362841     0.0011928     0.0000000     0.0000002     0.0011926     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.98784        3.6349        4.0069        3.3602        3.0725         0.000       31.3994     0.1348493     0.0011696     0.0000000     0.0000002     0.0011694     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.98575        3.6382        4.0070        3.3678        3.0865         0.000       31.3901     0.1334887     0.0011476     0.0000000     0.0000002     0.0011474     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       1.98373        3.6415        4.0070        3.3751        3.0999         0.000       31.3813     0.1321966     0.0011267     0.0000000     0.0000002     0.0011266     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       1.98177        3.6446        4.0071        3.3822        3.1129         0.000       31.3730     0.1309680     0.0011069     0.0000000     0.0000002     0.0011067     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       1.97987        3.6476        4.0071        3.3889        3.1254         0.000       31.3652     0.1297988     0.0010879     0.0000000     0.0000002     0.0010877     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       1.97801        3.6505        4.0072        3.3954        3.1374         0.000       31.3577     0.1286844     0.0010698     0.0000000     0.0000002     0.0010696     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       19.0000       1.97621        3.6533        4.0072        3.4016        3.1490         0.000       31.3506     0.1276216     0.0010525     0.0000000     0.0000002     0.0010524     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       1.97446        3.6560        4.0073        3.4076        3.1602         0.000       31.3438     0.1266069     0.0010360     0.0000000     0.0000002     0.0010358     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       1.97275        3.6586        4.0073        3.4134        3.1710         0.000       31.3373     0.1256371     0.0010202     0.0000000     0.0000002     0.0010200     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       1.97109        3.6611        4.0074        3.4190        3.1814         0.000       31.3312     0.1247096     0.0010050     0.0000000     0.0000002     0.0010048     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           9.            0.       19.0000       1.96946        3.6636        4.0074        3.4244        3.1915         0.000       31.3252     0.1238218     0.0009904     0.0000000     0.0000002     0.0009902     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       1.96788        3.6659        4.0075        3.4296        3.2012         0.000       31.3194     0.1229711     0.0009764     0.0000000     0.0000002     0.0009762     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       1.96633        3.6682        4.0075        3.4346        3.2106         0.000       31.3139     0.1221555     0.0009629     0.0000000     0.0000002     0.0009627     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
